timestamp,voltage_V,current_mA,power_mW
2026-06-13T16:40:54.946913,3.322,17.50,57.00
2026-06-13T16:40:55.495008,3.322,17.40,57.00
2026-06-13T16:40:56.000562,3.286,17.20,57.00
2026-06-13T16:40:56.516493,3.322,17.50,57.00
2026-06-13T16:40:57.133097,3.322,17.50,57.00
2026-06-13T16:40:57.645107,3.322,17.50,57.00
2026-06-13T16:40:58.155944,3.322,17.40,57.00
2026-06-13T16:40:58.669326,3.322,17.40,57.00
2026-06-13T16:40:59.154488,3.322,17.40,57.00
2026-06-13T16:40:59.646077,3.322,17.50,57.00
2026-06-13T16:41:00.209401,3.322,17.40,57.00
2026-06-13T16:41:00.680707,3.326,17.40,57.00
2026-06-13T16:41:01.228206,3.322,17.50,57.00
2026-06-13T16:41:01.800492,3.326,17.30,57.00
2026-06-13T16:41:02.244097,3.326,17.40,57.00
2026-06-13T16:41:02.761264,3.322,17.40,57.00
2026-06-13T16:41:03.282644,3.322,17.40,57.00
2026-06-13T16:41:03.895345,3.322,17.40,57.00
